Alloy,Doping type,Temperature (K),Doping (cm⁻³),S (µV/K),sigma (S/m),kappa_e (W/(m·K)),ZT_e (-)
HfCr_Fe2_As2,p,200.0,1e+18,634.8026327571583,178.97391985372562,0.0008105168295848331,17.79652246913142
HfCr_Fe2_As2,p,300.0,1e+19,492.730904845479,1734.283728497847,0.013874972509537615,9.103929341045797
HfCr_Fe2_As2,p,400.0,1e+20,340.973695085289,16460.9877875368,0.1283466145249003,5.9644886780037325
HfCr_Fe2_As2,p,500.0,1e+20,356.32167066628614,16163.515732767317,0.23694376227665384,4.330569635639211
HfCr_Fe2_As2,p,600.0,1e+20,331.6491809176716,16896.091622506658,0.6336715975827296,1.7596695656648234
HfCr_Fe2_As2,p,700.0,-1e+20,-196.9091649302172,27883.672910865982,1.2074581585948254,0.6267694069389294
HfCr_Fe2_As2,p,800.0,-1e+20,-157.5229346226706,32972.37625609579,2.3374362288025696,0.2800193550872751
HfCr_Fe2_As2,p,900.0,-1e+20,-115.28176133206215,41207.77157560596,3.887704661159873,0.12677965922596338
HfCr_Fe2_As2,p,1000.0,-1e+20,-81.43158280145789,52095.241381715525,5.739513606358282,0.06018783442402719
HfCr_Fe2_As2,p,1100.0,-1e+20,-56.486335550884405,64996.39978354707,7.822029008344368,0.029164152962667174
HfCr_Fe2_As2,p,1200.0,1e+20,40.835633515620096,75990.51949653706,10.685754572016615,0.014230300116311967
HfCr_Fe2_As2,p,1300.0,1e+20,34.28535127846984,92121.75934903993,13.03868942736329,0.01079664550323448
HfCr_Fe2_Bi2,n,100.0,-1e+16,895.3019781176536,2.1873974509671954,3.944566729359385e-06,44.44956165188853
HfCr_Fe2_Bi2,n,200.0,-1e+18,591.1189654964043,204.24664646123847,0.001453682374697455,9.818953252851655
HfCr_Fe2_Bi2,n,300.0,-1e+19,451.86028903690726,1901.4637082556412,0.024006725329327346,4.851597052399315
HfCr_Fe2_Bi2,n,400.0,-1e+20,320.23799865053917,16941.17815078555,0.1524666804771415,4.558000639702317
HfCr_Fe2_Bi2,n,500.0,-1e+20,330.01073063637693,16554.88410228537,0.3228220916168156,2.7924732736640148
HfCr_Fe2_Bi2,n,600.0,-1e+20,291.48622714632023,18161.220469502332,0.8441204330315184,1.0968012730730283
HfCr_Fe2_Bi2,n,700.0,-1e+20,223.66852570325682,22886.35776352927,1.7869830399816207,0.448501646999453
HfCr_Fe2_Bi2,n,800.0,-1e+20,167.35341149208216,30753.63694993606,3.016298302319243,0.22844482281794173
HfCr_Fe2_Bi2,n,900.0,-1e+20,133.28613850290944,41109.3414577418,4.435616127105747,0.1481832266998905
HfCr_Fe2_Bi2,n,1000.0,-1e+20,114.53440651181772,53267.931228463516,6.007129545526575,0.11632438688722072
HfCr_Fe2_Bi2,n,1100.0,-1e+20,104.48756402140243,66725.15504445588,7.699978180787077,0.10406914604557883
HfCr_Fe2_Bi2,n,1200.0,-1e+20,99.27459330265803,81106.54515606118,9.482404398137817,0.1011567595633032
HfCr_Fe2_Bi2,n,1300.0,-1e+20,96.61037080994936,96103.50997046649,11.325915634993029,0.10295721293670736
HfCr_Fe2_Bi2,p,100.0,1e+16,895.3019781176536,2.1873974509671954,3.944566729359385e-06,44.44956165188853
HfCr_Fe2_Bi2,p,200.0,1e+18,591.1189654964043,204.24664646123847,0.001453682374697455,9.818953252851655
HfCr_Fe2_Bi2,p,300.0,1e+19,451.86028903690726,1901.4637082556412,0.024006725329327346,4.851597052399315
HfCr_Fe2_Bi2,p,400.0,1e+20,320.23799865053917,16941.17815078555,0.1524666804771415,4.558000639702317
HfCr_Fe2_Bi2,p,500.0,1e+20,330.01073063637693,16554.88410228537,0.3228220916168156,2.7924732736640148
HfCr_Fe2_Bi2,p,600.0,1e+20,291.48622714632023,18161.220469502332,0.8441204330315184,1.0968012730730283
HfCr_Fe2_Bi2,p,700.0,1e+20,223.66852570325682,22886.35776352927,1.7869830399816207,0.448501646999453
HfCr_Fe2_Bi2,p,800.0,1e+20,167.35341149208216,30753.63694993606,3.016298302319243,0.22844482281794173
HfCr_Fe2_Bi2,p,900.0,1e+20,133.28613850290944,41109.3414577418,4.435616127105747,0.1481832266998905
HfCr_Fe2_Bi2,p,1000.0,1e+20,114.53440651181772,53267.931228463516,6.007129545526575,0.11632438688722072
HfCr_Fe2_Bi2,p,1100.0,1e+20,104.48756402140243,66725.15504445588,7.699978180787077,0.10406914604557883
HfCr_Fe2_Bi2,p,1200.0,1e+20,99.27459330265803,81106.54515606118,9.482404398137817,0.1011567595633032
