Alloy,Doping type,Temperature (K),Doping (cm⁻³),S (µV/K),sigma (S/m),kappa_e (W/(m·K)),ZT_e (-)
HfCr_Fe2_Sb2,p,100.0,1e+16,901.3921735979362,2.122950385771435,3.83281349679634e-06,45.00385568892112
HfCr_Fe2_Sb2,p,200.0,1e+18,602.4964291876453,198.34125436992088,0.0011542887219490713,12.474913801739087
HfCr_Fe2_Sb2,p,300.0,1e+19,463.936838300797,1854.698324711746,0.019575927964247956,6.117724185320066
HfCr_Fe2_Sb2,p,400.0,1e+20,325.12804782428003,16920.109093303192,0.14467202819648164,4.945240905943952
HfCr_Fe2_Sb2,p,500.0,1e+20,339.4863717995225,16479.80274794284,0.27796093575021974,3.41651190295007
HfCr_Fe2_Sb2,p,600.0,1e+20,310.62176238942976,17387.220489172523,0.7089718880930663,1.4197639865270468
HfCr_Fe2_Sb2,p,700.0,1e+20,241.99222642695167,20788.751281335513,1.5733512207067124,0.5416310990435196
HfCr_Fe2_Sb2,p,800.0,1e+20,172.12155793004888,27130.876937565383,2.7743023770566597,0.23177711951164237
HfCr_Fe2_Sb2,p,900.0,1e+20,124.40440209647294,36060.58832493253,4.1858453241739975,0.1199951347473735
HfCr_Fe2_Sb2,p,1000.0,1e+20,96.60756069115803,46941.15905868972,5.762706321154852,0.07602379657111925
HfCr_Fe2_Sb2,p,1100.0,1e+20,81.27782155762701,59239.52468536244,7.482345142943626,0.05753215250662246
HfCr_Fe2_Sb2,p,1200.0,1e+20,73.41372581841831,72566.76956200726,9.318805999411277,0.050363197663786746
HfCr_Fe2_Sb2,p,1300.0,1e+20,69.65680685238269,86605.8409955118,11.24485301306334,0.04858071213318497
HfCr_Ir2_Ge2,n,100.0,1e+17,-487.427558394271,47.576996483207274,0.0001298857006252505,8.702736618081705
HfCr_Ir2_Ge2,n,200.0,1e+19,-197.9535590516242,4296.652059123825,0.018448979580609173,1.825216812462696
HfCr_Ir2_Ge2,n,300.0,1e+19,-181.97409317029678,4908.085022802431,0.09276414032380403,0.5256205491416972
HfCr_Ir2_Ge2,n,400.0,1e+20,-130.40607585805216,32763.427139569936,0.34179189132561333,0.6520534734435997
HfCr_Ir2_Ge2,n,500.0,1e+20,-143.94085369578167,32581.426755355915,0.5996436354716835,0.5628789691108022
HfCr_Ir2_Ge2,n,600.0,1e+20,-129.87454380401007,35155.895411483216,1.2114776116366317,0.2936852205656695
